id,claim,source,evidence_class,detail
RQ1-1,Internal monitoring is continuous and autonomous,B1,Implementation verification,"Confirmed: the drive is a software integrator that self-drains at exactly 1.00x nominal (degenerate CI, as expected for a software integrator — this is not a measurement of anything) and samples every 2.3s across 12 runs / 46 h, autonomously, including 2 runs with no visitors. The only non-trivial content is the dense autonomous sampling; the drain rate matching nominal is true by construction."
RQ1-2,Deficit detection follows the coded 60/25 thresholds,B2,Implementation verification,"Detection is faithfully implemented, and one previously reported result is REVERSED. Bracket accuracy (1.00/1.00) is true by construction — the label is computed from the level by the same thresholds — and carries no evidential weight. Detection LATENCY is genuinely tight: drain-driven falls are caught within 0.0070 stomach points, about one 2.3s sampling step (the earlier figure of '3.6 points = one drain sample' was wrong; 3.6 is the largest ACTION COST, not a drain step). But the labels DO FLAP: 55 rapid reversals at the 60 boundary and 2 at 25 (median gap 29s), mostly an action cost pushing the level under the threshold and a feed pulling it straight back. The previous report claimed ZERO reversals and called that the non-trivial result of B2; its detector compared from-state against from-state rather than to-state and could never have fired. The flapping is real, and it is why chatBot.py carries a 60s HS_DWELL debounce."
RQ1-3,Deficit is associated with feeding received,B3,Within-deployment association,"Within-deployment association between the orexigenic deficit and FEEDING RECEIVED (a meal arrived — an outcome of the dyad, not a robot action). Odds are 5.3x higher in deficit than at Full (person-cluster bootstrap [2.8, 9.0]; run-cluster bootstrap [2.6, 7.1]; asymptotic GEE CI [2.9, 9.7], p=5.8e-08; LOPO 4.4-6.5). It survives the prespecified adjustment for social state, trigger mode, phase, day and prior interaction count, under both clustering schemes. Raw rates: a meal arrived in 0.15 of Full interactions vs 0.43 in deficit; meals are larger in deficit (21 -> 31). SEPARATELY, and as implementation verification only: the hunger framing (3%->66%), the 20 feed-seeking speech acts and the 172 proactive pings (vs 0 at Full) are state-gated in source — `if` statements, not findings. Single always-on condition: this is an association, NOT a causal effect of the drive."
RQ1-4,Starving reallocates priority away from social completion,B4,Exploratory observation,"Directionally consistent, not estimable. Starving interactions completed socially in 1/13 cases (exact 95% CI [0.00, 0.36]) versus 139/204 otherwise (exact [0.61, 0.74]), while feeding received ROSE (0.26 -> 0.54) and turns fell (-2.39). The opposing directions are the substance: this looks like priority reallocation toward recovery rather than disengagement. But the whole cell is 1 success in 13 interactions from 6 people, so the Firth OR (0.048, profile CI [0.005, 0.216]) is a bound, not an estimate; the earlier OR 0.03 / p~2e-6 was a separation artefact. Excluded from the confirmatory families. Requires replication with more Starving exposure before any magnitude is claimed."
RQ2-a,Deficit expression elicits recovery behaviour,B5,Within-deployment association,"MEAL SIZE scales with deficit severity: 21 (Full) -> 29 (Hungry) -> 43 (Starving), +10.9 stomach points per deficit step (run-cluster bootstrap [+6.2, +14.0]), and the gradient SURVIVES EXCLUDING the two obligated feeders (+7.1/step, run-cluster bootstrap [+2.0, +12.2]). REMOTE LOOP, with reply-centric one-to-one matching and hs3_recovery notifications excluded, PRIMARY window 15 min (100% match coverage — every ping had a control): 20/172 hunger pings drew a reply (0.12, exact [0.07, 0.17]) against 0.02 [0.00, 0.05] in controls matched on subscriber, run and time-of-day — a PAIRED difference of +0.10 (subscriber-cluster bootstrap [+0.06, +0.14]; run-cluster [+0.06, +0.14]), stable across 5 independent control draws. WIDER WINDOWS have declining match coverage and are reported as sensitivity only, not as the primary estimate: 30 min matches 128/172 pings (74%), paired diff +0.17 (subscriber-cluster [+0.09, +0.26]); 60 min matches only 67/172 pings (39%), paired diff +0.22 (subscriber-cluster [+0.12, +0.31]) — at that coverage the matched subset is well under half the ping population, so this figure should not be quoted as a headline on its own. 1/12 subscribers never replied to any hunger ping. The remote channel is a real but WEAK recovery pathway."
RQ2-b,Observed Starving episodes resolve by feeding,B6,Exploratory observation,"Descriptive, and materially worse than previously reported. Over ALL 17 Starving episodes (not the 8 the label-keyed builder could see): 13/17 received a feed (exact 95% CI [0.50, 0.93]) and 13/17 recovered to Full by feeding (exact [0.50, 0.93]; run-cluster bootstrap [0.46, 0.95]) — not the 100% the selected subset showed. The episodes cluster in 9 runs, so the effective n is nearer 9 than 17. The longest episode ran 30 minutes down to level 10.5 in a run with 15 logged interactions: people were present and it was not fed. This is an operational status check on a clustered, small, partly right-censored sample. It is NOT a recovery rate, and RQ2-c does not rest on it."
RQ2-c,Long-run Starving occupancy is low,B7,Inconclusive,"The MODELLED long-run Starving occupancy is not identified by these data, and the empirical one does not need it. Empirically, the robot spent 1.67% of observed seconds in Starving (run-cluster bootstrap [0.38, 4.04]) — that figure is assumption-free and stands. What does NOT stand is the stationary CTMC the previous version reported as '1.0% [0.2, 3.1]': Phase 1 and Phase 2 are not the same process — empirical Starving occupancy is 9x higher in Phase 1 (2.81% vs 0.30%), so a time-homogeneous chain fitted across both describes neither; the visited/idle split cannot be fitted (the idle stratum has no Starving transitions at all), so the pooling assumption cannot be checked on that axis. The deficiency is structural, not a matter of tightening the fit — the deployment is not a time-homogeneous process, so its 'long-run' stationary fraction is the occupancy of a chain that never ran. Report the empirical number. A modelled one needs longer runs, a stationary operating regime, and more than the 17 Starving transitions this corpus contains."
RQ3-a,The role manipulation changed what people did,B10.1,Exploratory observation,"Exploratory manipulation check for these four participants. Roles were assigned BY AVAILABILITY, not randomised, so nothing here is randomisation inference and no population role effect is estimated. On the COMPLETE scheduled-day panel (96 scheduled person-days, of which 23 were no-shows kept as genuine zeros, reconciled against the robot's own logs first — see the attribution note): 4.3x the ENERGY arrived during interactions attributed to obligated-feeder participants, per scheduled day (sum of meal_delta — stomach points, not a meal count; person-cluster bootstrap [1.6, 20.0]), but PER INTERACTION they were credited with feeding only 1.1x as often (bootstrap [0.0, 2.8]). This is attribution to the interaction active when the feed occurred, NOT a verified feeder identity — `feeder_face_id` names only 8/14 recipients. The gap is EXPOSURE (4.3x more interactions per scheduled day), which is NOT purely 'showed up more': it decomposes into 1.7x higher attendance PROBABILITY (feeders attended every scheduled day; unconstrained participants attended a minority of theirs) and 2.6x more interactions PER DAY THEY DID ATTEND — both components matter, and the product is the 4.3x headline. Being told to feed the robot made people GO TO the robot more reliably AND stay more engaged once there; it does not show they were markedly more generous per encounter. Exposure is a mediator of the role, not a confounder, so the per-encounter figure is a decomposition and the energy figure is what arrived during their interactions. A label-permutation sensitivity over the exact enumeration of all 45 possible assignments gives p=0.044 (energy) and p=0.400 (per-encounter) against a hard design floor of 0.022 — a descriptive measure of how much of the contrast rides on two individuals, NOT a randomisation test. The no-feed pair's interaction-level record shows 0/15 feeds in Phase 1 (exact upper bound 0.22) — BUT the independent feed-attribution pipeline separately assigns 115 stomach points of energy to their Phase-1 interactions anyway, because it matches feeds to the nearest active interaction by timestamp rather than to the interaction's own recorded meal count. The two pipelines disagree, so this is NOT read as verified perfect compliance — only as what the direct interaction-level log shows, with the caveat that a separate, independently computed figure for the same people and days is nonzero. An earlier version reported a 2.7x meal-rate ratio as though feeders fed more READILY; the excess is real, and it is mostly a fact about exposure, not generosity."
RQ3-b,Affinity encodes interaction history and is expressed downstream,B10,Implementation verification,"IMPLEMENTATION VERIFICATION, with an exploratory deployment association on top — not a general learning result. Affinity is a DETERMINISTIC EMA of delivered energy: modelling its four programmed inputs (credit, active_energy_cost, fed, affinity_before) explains R^2=0.45 of every update, and what they leave over is clamping and the alpha/alpha_neg branch, not behaviour. TWO SEPARATE dose comparisons follow; they answer different questions and their signs are NOT compared to each other. (1) On top of the FULL update rule — i.e. with `credit` and `active_energy_cost` also in the model, which absorbs nearly all deterministic variance by construction — engagement dose adds a RESIDUAL -0.0927 per SD (p=0.040, SIGN-REVERSED from every estimate below). This is EXPLORATORY and not interpreted as a magnitude, because dose and outcome remain mechanically connected (turns drive active_energy_cost, a literal term in `credit`) and because conditioning on `credit` over-controls for a near-deterministic function of the outcome itself — `active_energy_cost` is mechanically CAUSED BY dose (more turns/duration -> more active cost), so it is a MEDIATOR of the dose effect, not a confounder of it; controlling for a mediator when the target is dose's total effect strips out exactly the pathway being measured, which is the more likely explanation for why (1)'s residual is small and sign-reversed, not evidence that (2) is wrong. That is also why `active_energy_cost` is deliberately NOT a covariate in (2) below — a design choice, not an oversight. (2) SEPARATELY, across specifications that control `fed` and `affinity_before` but do NOT additionally control `credit`/`active_energy_cost` — the comparison the previous report's 'all three doses agree in sign' claim was actually about — the fully observed dose (`n_turns`) gives +0.041 [+0.016, +0.066] (person-cluster bootstrap [+0.009, +0.155]), against the +0.168 the fully uncontrolled specification reported — a 4.1x spread (+0.168 / +0.041). THESE (+0.041 vs +0.168) agree in SIGN but NOT in magnitude, 4.1x apart; note that NEITHER of them controls `active_energy_cost`, so neither is the fully-rule-controlled estimate in (1) — read +0.041 as partially controlled, not as the rule-controlled figure. SEPARATELY AGAIN: among just the controlled specifications (PRIMARY `n_turns` and the two SECONDARY duration fits, excluding the uncontrolled OLD figure), the maximum pairwise spread is a different, smaller number — 2.7x (signs agree but magnitudes differ by 2.7x (tolerance 2.0x)) — do not conflate this with the 4.1x OLD-vs-PRIMARY figure above; they answer different questions. Duration is 52% missing and NOT at random; the IPW fit has an effective sample size of 82/96 (85%) and a POSITIVITY VIOLATION. DOWNSTREAM, decomposed into its three logged stages: affinity does not clearly predict who is DETECTED (OR 3.36, p=0.052); the eligibility rate DOES rise with affinity descriptively (3% -> 9% across terciles), but at the person-cluster level it is not distinguishable (RR 3.51 [0.38, 32.66], p=0.27) — and that stage IS the coded threshold eff_thr=max(0.50, base-0.15*affinity), which B9 verifies to a maximum error of 0.0000, so it is arithmetic, not a finding; and given eligibility it is associated with proactive approach at RR 1.03 [0.97, 1.08] (bootstrap [1.00, 1.10]) over 155 eligible opportunities. What RQ3 genuinely establishes is B10.1 — the role manipulation changed what PEOPLE did. Everything else is the controller doing what it was written to do."
D1,Hunger state adds held-out predictive signal,D1,Within-deployment association,"Hunger state adds held-out signal beyond social state: ΔAUC = +0.081 [+0.072, +0.094] over 25 repeated grouped-CV runs, permutation p = 0.005 against a within-run shuffle null. Social state remains the dominant predictor. Sensitivity evidence only — it corroborates the direction of B3/B4 and confirms nothing."
